Lp.;Name;Ingredient;Postać farmaceutyczna;Dawka;Wielkość opakowania;Kat. dost.;EAN;Wytwórca;Kraj wytwórcy
273;Aliane;Drospirenonum + Ethinylestradiolum;tabletki powlekane;3 mg + 0,02 mg;"21 tabl.
63 tabl.";"Rp
Rp";"5909990619566
5909990619573";"Bayer Pharma AG
Bayer Weimar GmbH und Co. KG";"D
D"
274;Alka-Prim;Acidum acetylsalicylicum;tabletki musujące;330 mg;"2 tabl.
10 tabl.";"OTC
OTC";"5909990134724
5909990134717";Zakłady Farmaceutyczne POLPHARMA S.A.;PL
275;Alka-Seltzer;Acidum acetylsalicylicum;tabletki musujące;324 mg;"2 tabl.
6 tabl.
10 tabl.
40 tabl.";"OTC
OTC
OTC
OTC";"5909990192717
5909990192748
5909990192724
5909990192731";"Bayer Bitterfeld GmbH
Pharma Innovations Sp. z o.o.";"D
PL"
276;Alkeran;Melphalanum;tabletki powlekane;2 mg;25 tabl.;Rp;5909990283514;"EXCELLA GmbH
GlaxoSmithKline Pharmaceuticals S.A.";"D
PL"
277;Allegra;Fexofenadini hydrochloridum;tabletki powlekane;120 mg;20 tabl.;OTC;5909990419517;"Sanofi Winthrop Industrie
Sanofi-Aventis Deutschland GmbH
Sanofi-Synthelabo Ltd.";"F
D

GB"
278;Allergo-Comod;Natrii cromoglicas;krople do oczu, roztwór;20 mg/ml;1 butelka 10 ml;OTC;5909990976218;Ursapharm Arzneimittel GmbH;D
279;Allergocrom;Natrii cromoglicas;krople do oczu;20 mg/ml;1 butelka 10 ml;OTC;5909990898015;Ursapharm Arzneimittel GmbH;D
280;Allergocrom aerozol do nosa;Natrii cromoglicas;aerozol do nosa, roztwór;20 mg/ml;1 butelka 15 ml;Rp;5909990986415;Ursapharm Arzneimittel GmbH;D
281;Allergodil;Azelastini hydrochloridum;aerozol do nosa, roztwór;1 mg/ml (0,1%);1 butelka 10 ml;OTC;5909990760213;Meda Pharma GmbH & Co. KG;D
282;Allergodil;Azelastini hydrochloridum;krople do oczu, roztwór;0,5 mg/ml;"1 butelka 6 ml
1 butelka 10 ml";"OTC
OTC";"5909991062613
5909991062620";Meda Pharma GmbH & Co. KG;D
283;Allergovit;Alergeny pyłków roślin (mieszanki alergenów);zawiesina do wstrzykiwań;;"1 zestaw: 1 fiol. 3 ml (stężenie B) do leczenia podtrzymującego
1 zestaw: 2 fiol. 3 ml (stężenie A i B) do leczenia początkowego";"Rp


Rp";"5909990001422


5909990001415";Allergopharma Joachim Ganzer KG;D
284;Allergovit;Alergoidy pyłków roślin;zawiesina do wstrzykiwań;;"1 zestaw: 1 fiol. 3 ml (stężenie B) do leczenia podtrzymującego
1 zestaw: 2 fiol. 3 ml (stężenie A i B) do leczenia początkowego";"Rp


Rp";"5909990001323


5909990001316";Allergopharma Joachim Ganzer KG;D
285;Allertec;Cetirizini dihydrochloridum;krople doustne, roztwór;10 mg/ml;"1 butelka 10 ml
1 butelka 10 ml z pompką
1 butelka 20 ml";"Rp
Rp
Rp";"5909991103811
5909991103828
5909991103835";Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
286;Allertec;Cetirizini dihydrochloridum;syrop;5 mg/5 ml;1 butelka 100 ml;Rp;5909990851119;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
287;Allertec;Cetirizini dihydrochloridum;tabletki powlekane;10 mg;"20 tabl.
30 tabl.";"Rp
Rp";"5909990441020
5909990569441";Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
288;Allertec WZF;Cetirizini dihydrochloridum;tabletki powlekane;10 mg;"7 tabl.
10 tabl.";"OTC
OTC";"5909991067410
5909991067427";Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
289;Alliofil;Allii sativi bulbus + Urticae folium;tabletka dojelitowa;200 mg + 53,5 mg;30 tabl. ;OTC;5909990006229;Poznańskie Zakłady Zielarskie HERBAPOL S.A.;PL
290;Alliomint;Allii sativi bulbus;tabletka;300 mg;"30 tabl.
60 tabl.
90 tabl.";"OTC
OTC
OTC";"5909991044312
5909991044329
5909991044336";Innowacyjno-Wdrożeniowe Laboratorium Farmaceutyczne Labofarm mgr farm. Tadeusz Pawełek;PL
291;Allium cepa;Homeopatyczny produkt leczniczy ;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";"2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 
6K, 12K, 30K, 200K, 1MK, 10MK, 100MK";"2CH - 1 op.1 g
2CH - 1 op. 4 g
2CH - 1 op. 60 ml
4CH - 1 op.1 g
4CH - 1 op. 4 g
4CH - 1 op. 60 ml
5CH - 1 op.1 g
5CH - 1 op. 4 g
5CH - 1 op. 60 ml
7CH - 1 op.1 g
7CH - 1 op. 4 g
7CH - 1 op. 60 ml
9CH - 1 op.1 g
9CH - 1 op. 4 g
9CH - 1 op. 60 ml
12CH - 1 op.1 g
12CH - 1 op. 4 g
12CH - 1 op. 60 ml
15CH - 1 op.1 g
15CH - 1 op. 4 g
15CH - 1 op. 60 ml
30CH - 1 op.1 g
30CH - 1 op. 4 g
30CH - 1 op. 60 ml
200CH - 1 op.1 g
200CH - 1 op. 4 g
200CH - 1 op. 60 ml
6K - 1 op.1 g
6K - 1 op. 4 g
6K - 1 op. 60 ml";"OTC: 2CH - 15CH, Rp: 30CH - 200CH; 6K - 100MK";"5909997025322
5909997025315
5909997025346
5909997090306
5909997090153
5909997090450
5909997090313
5909997090160
5909997090467
5909997090320
5909997090177
5909997090474
5909997090337
5909997090184
5909997090481
5909997090344
5909997090191
5909997090498
5909997090351
5909997090207
5909997090504
5909997090368
5909997090214
5909997090511
5909997090375
5909997090221
5909997090528
5909997090382
5909997090238
5909997090535";Boiron SA;FR
;;;;;"12K - 1 op.1 g
12K - 1 op. 4 g
12K - 1 op. 60 ml
30K - 1 op.1 g
30K - 1 op. 4 g
30K - 1 op. 60 ml
200K - 1 op.1 g
200K - 1 op. 4 g
200K - 1 op. 60 ml
1MK - 1 op.1 g
1MK - 1 op. 4 g
1MK - 1 op. 60 ml
10MK - 1 op.1 g
10MK - 1 op. 4 g
10MK - 1 op. 60 ml
100MK - 1 op.1 g
100MK - 1 op. 4 g
100MK - 1 op. 60 ml";;"5909997090399
5909997090245
5909997090542
5909997090405
5909997090252
5909997090559
5909997090412
5909997090269
5909997090566
5909997090429
5909997090276
5909997090573
5909997090436
5909997090283
5909997090580
5909997090443
5909997090290
5909997090597";;
292;Allium sativum;Homeopatyczny produkt leczniczy ;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";"2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 
6K, 12K, 30K, 200K, 1MK, 10MK, 100MK";"2CH - 1 op.1 g
2CH - 1 op. 4 g
2CH - 1 op. 60 ml
4CH - 1 op.1 g
4CH - 1 op. 4 g
4CH - 1 op. 60 ml
5CH - 1 op.1 g
5CH - 1 op. 4 g
5CH - 1 op. 60 ml
7CH - 1 op.1 g
7CH - 1 op. 4 g
7CH - 1 op. 60 ml
9CH - 1 op.1 g
9CH - 1 op. 4 g
9CH - 1 op. 60 ml
12CH - 1 op.1 g
12CH - 1 op. 4 g
12CH - 1 op. 60 ml
15CH - 1 op.1 g
15CH - 1 op. 4 g
15CH - 1 op. 60 ml
30CH - 1 op.1 g
30CH - 1 op. 4 g
30CH - 1 op. 60 ml
200CH - 1 op.1 g
200CH - 1 op. 4 g
200CH - 1 op. 60 ml
6K - 1 op.1 g
6K - 1 op. 4 g
6K - 1 op. 60 ml";"OTC: 2CH - 15CH, Rp: 30CH - 200CH; 6K - 100MK";"5909997034676
5909997034669
5909997034690
5909997092409
5909997090603
5909997092553
5909997092416
5909997092263
5909997092560
5909997092423
5909997092270
5909997092577
5909997092430
5909997092287
5909997092584
5909997092447
5909997092294
5909997092591
5909997092454
5909997092300
5909997092607
5909997092461
5909997092317
5909997092614
5909997092478
5909997092324
5909997092621
5909997092485
5909997092331
5909997092638";Boiron SA;FR
;;;;;"12K - 1 op.1 g
12K - 1 op. 4 g
12K - 1 op. 60 ml
30K - 1 op.1 g
30K - 1 op. 4 g
30K - 1 op. 60 ml
200K - 1 op.1 g
200K - 1 op. 4 g
200K - 1 op. 60 ml
1MK - 1 op.1 g
1MK - 1 op. 4 g
1MK - 1 op. 60 ml
10MK - 1 op.1 g
10MK - 1 op. 4 g
10MK - 1 op. 60 ml
100MK - 1 op.1 g
100MK - 1 op. 4 g
100MK - 1 op. 60 ml";;"5909997092492
5909997092348
5909997092645
5909997092508
5909997092355
5909997092652
5909997092515
5909997092362
5909997092669
5909997092522
5909997092379
5909997092676
5909997092539
5909997092386
5909997092683
5909997092546
5909997092393
5909997092690";;
293;Allupol;Allopurinolum;tabletki;100 mg;50 tabl.;Rp;5909990109418;Gedeon Richter Polska Sp. z o.o.;PL
294;Aloe;Homeopatyczny produkt leczniczy ;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";"2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 
6K, 12K, 30K, 200K, 1MK, 10MK, 100MK";"2CH - 1 op.1 g
2CH - 1 op. 4 g
2CH - 1 op. 60 ml
4CH - 1 op.1 g
4CH - 1 op. 4 g
4CH - 1 op. 60 ml
5CH - 1 op.1 g
5CH - 1 op. 4 g
5CH - 1 op. 60 ml
7CH - 1 op.1 g
7CH - 1 op. 4 g
7CH - 1 op. 60 ml
9CH - 1 op.1 g
9CH - 1 op. 4 g
9CH - 1 op. 60 ml
12CH - 1 op.1 g
12CH - 1 op. 4 g
12CH - 1 op. 60 ml
15CH - 1 op.1 g
15CH - 1 op. 4 g
15CH - 1 op. 60 ml
30CH - 1 op.1 g
30CH - 1 op. 4 g
30CH - 1 op. 60 ml
200CH - 1 op.1 g
200CH - 1 op. 4 g
200CH - 1 op. 60 ml
6K - 1 op.1 g
6K - 1 op. 4 g
6K - 1 op. 60 ml";"OTC: 2CH - 15CH, Rp: 30CH - 200CH; 6K - 100MK";"5909997032030
5909997032023
5909997032054
5909997084039
5909997092706
5909997084183
5909997084046
5909997092713
5909997084190
5909997084053
5909997092720
5909997084206
5909997084060
5909997092737
5909997084213
5909997084077
5909997092744
5909997084220
5909997084084
5909997092751
5909997084237
5909997084091
5909997092768
5909997084244
5909997084107
5909997092775
5909997084251
5909997084114
5909997092782
5909997084268";Boiron SA;FR
;;;;;"12K - 1 op.1 g
12K - 1 op. 4 g
12K - 1 op. 60 ml
30K - 1 op.1 g
30K - 1 op. 4 g
30K - 1 op. 60 ml
200K - 1 op.1 g
200K - 1 op. 4 g
200K - 1 op. 60 ml
1MK - 1 op.1 g
1MK - 1 op. 4 g
1MK - 1 op. 60 ml
10MK - 1 op.1 g
10MK - 1 op. 4 g
10MK - 1 op. 60 ml
100MK - 1 op.1 g
100MK - 1 op. 4 g
100MK - 1 op. 60 ml";;"5909997084121
5909997092799
5909997084275
5909997084138
5909997092805
5909997084282
5909997084145
5909997083995
5909997084299
5909997084152
5909997084008
5909997084305
5909997084169
5909997084015
5909997084312
5909997084176
5909997084022
5909997084329";;
295;Alomide;Lodoxamidum;krople do oczu, roztwór;1 mg/ml;1 butelka 5 ml;Rp;5909990408818;S.A. Alcon-Couvreur N.V.;B
296;Alopexy;Minoxidilum;roztwór na skórę;5%;"1 butelka 60 ml
1 butelka 60 ml
3 butelki 60 ml
3 butelki 60 ml";"Rp
Rp
Rp
Rp";"5909990842346
5909990842360
5909990842353
5909990842377";Pierre Fabre Medicament Production;F
297;Alphagan;Brimonidini tartras;krople do oczu, roztwór;2 mg/ml;"1 op. 2,5 ml
1 op. 5 ml
1 op. 10 ml";"Rp
Rp
Rp";"5909990865017
5909990865024
5909990865031";Allergan Pharmaceuticals Ireland;IRL
298;Alpicort;Prednisolonum + Acidum salicylicum;płyn na skórę;(2 mg + 4 mg)/ml;1 op. 100 ml;Rp;5909990299119;Dr August Wolff GmbH & Co.;D
299;Alpicort E;Prednisolonum + Estradiolum + Acidum salicylicum;płyn na skórę;(2 mg + 0,05 mg + 4 mg)/ml;1 butelka 100 ml;Rp;5909990280216;Dr August Wolff GmbH & Co.;D
300;Alpragen;Alprazolamum;tabletki;0,25 mg;"30 tabl.
60 tabl.";"Rp
Rp";"5909990913718
5909990913725";McDermott Laboratories Ltd. t/a Gerard Laboratories;IRL
301;Alpragen;Alprazolamum;tabletki;0,5 mg;"30 tabl.
60 tabl.";"Rp
Rp";"5909990913817
5909990913824";McDermott Laboratories Ltd. t/a Gerard Laboratories;IRL
302;Alpragen;Alprazolamum;tabletki;1 mg;"30 tabl.
60 tabl.";"Rp
Rp";"5909990913916
5909990913923";McDermott Laboratories Ltd. t/a Gerard Laboratories;IRL
303;Alprostrapint 500;Alprostadilum;koncentrat do sporządzania roztworu do infuzji;500 mcg/ml;5 amp. 1 ml;Rp;5909990835713;PINT Pharma;A
304;Alprox;Alprazolamum;tabletki;0,25 mg;"20 tabl.
30 tabl.
50 tabl.
100 tabl.";"Rp
Rp
Rp
Rp";"5909990860807
5909990860821
5909990860838
5909990860845";Orion Corporation Orion Pharma;FIN
305;Alprox;Alprazolamum;tabletki;0,5 mg;"20 tabl.
30 tabl.
50 tabl.
100 tabl.";"Rp
Rp
Rp
Rp";"5909990860371
5909990860388
5909990860395
5909990860401";Orion Corporation Orion Pharma;FIN
306;Alprox;Alprazolamum;tabletki;1 mg;"20 tabl.
30 tabl.
50 tabl.
100 tabl.";"Rp
Rp
Rp
Rp";"5909990860425
5909990860432
5909990860449
5909990860456";Orion Corporation Orion Pharma;FIN
307;Altac-Emo;Aluminii acetotartras;żel;10 mg/g;"1 tuba 40 g
1 tuba 75 g";"OTC
OTC";"5909990917792
5909990917808";EMO-FARM Sp. z o.o.;PL
308;Altacet;Aluminii acetotartras;tabletki;1 g;6 tabl.;OTC;5909990052110;"LEK S.A.
LEK S.A.";"PL
PL"
309;Altacet;Aluminii acetotartras;żel;10 mg/g;"1 tuba 40 g
1 tuba 75 g";"OTC
OTC";"5909990015269
5909991000011";EMO-FARM Sp. z o.o.;PL
310;Altaziaja;Aluminii acetotartras;żel;10 mg/g;"1 tuba 40 g
1 tuba 75 g";"OTC
OTC";"5909990732586
5909991157814";Ziaja Ltd. - Zakład Produkcji Leków Sp. z o.o.;PL
311;Althamel;Althaeae radicis maceratio;syrop;2,25 g/5 ml;"1 butelka 125 g
1 butelka 125 g";"OTC
OTC";"5909990898718
5909990674787";"Grzegorz Nowakowski Przedsiębiorstwo Produkcji Farmaceutycznej ""GEMI""";PL
312;Althan;Althaeae sirupus FP;syrop;;"1 op. 125 g
1 op. 250 g";"OTC
OTC";"5909990694235
5909990694242";Farmaceutyczne Przedsiębiorstwo Produkcyjno-Analityczno-Handlowe PROLAB Halkiewicz i Ratajczyk sp.j.;PL
313;Alti-Sir;Althaeae radix;syrop;2,17 g/5 ml;"1 butelka 125 g
1 butelka 1250 g";"OTC
OTC";"5909990290420
5909990290444";Przedsiębiorstwo Produkcyjno-Handlowe MICROFARM s.c. Małgorzata Kacperska, Jan Kacperski;PL
314;Altix;Aluminii acetotartras;krem;1 g/100 g;"1 tuba 50 g
1 poj. 500 g";"OTC
OTC";"5909990853915
5909990853922";Herba Studio Mścisz i Wspólnicy Spółka Jawna;PL
315;Altra;Frangulae corticis extractum siccum;tabletki drażowane;10-15 mg antrazwiązków;20 tabl.;OTC;5909990642649;Poznańskie Zakłady Zielarskie HERBAPOL S.A.;PL
316;Altzer;Donepezili hydrochloridum;tabletki powlekane;5 mg;"28 tabl.
30 tabl.
56 tabl.
98 tabl.";"Rp
Rp
Rp
Rp";"5909990918478
5909990918485
5909990918492
5909990918508";"Niche Generics Limited
Niche Generics Limited";"IRL
GB"
317;Altzer;Donepezili hydrochloridum;tabletki powlekane;10 mg;"28 tabl.
30 tabl.
56 tabl.
98 tabl.";"Rp
Rp
Rp
Rp";"5909990918522
5909990918539
5909990918546
5909990918553";"Niche Generics Limited
Niche Generics Limited";"IRL
GB"
318;Alugastrin;Dihydroxyaluminii natrii carbonas;tabletki do rozgryzania i żucia;340 mg;"20 tabl.
40 tabl.";"OTC
OTC";"5909990292035
5909990292042";Zakłady Farmaceutyczne Polfa-Łódź S.A.;PL
319;Alugastrin;Dihydroxyaluminii natrii carbonas;zawiesina doustna;1,02 g/15 ml;1 butelka 250 ml;OTC;5909990257911;Zakłady Farmaceutyczne Polfa-Łódź S.A.;PL
320;Alugen 10 mg;Alfuzosini hydrochloridum;tabletki o przedłużonym uwalnianiu;10 mg;30 tabl.;Rp;5909990037933;"Generics [UK] Ltd.
McDermott Laboratories Ltd. t/a Gerard Laboratories";"GB
IRL"
321;Alumag;Aluminii hydroxidum + Magnesii hydroxidum;tabletki;200 mg + 200 mg;30 tabl.;OTC;5909990191413;Gedeon Richter Polska Sp. z o.o.;PL
322;Alumag;Aluminii hydroxidum + Magnesii hydroxidum;zawiesina doustna;(23 mg + 40,77 mg)/ml;1 fl. 250 ml;OTC;5909990248711;Gedeon Richter Polska Sp. z o.o.;PL
323;Alumina;Homeopatyczny produkt leczniczy ;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";"4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 
6K, 12K, 30K, 200K, 1MK, 10MK, 100MK";"4CH - 1 op.1 g
4CH - 1 op. 4 g
4CH - 1 op. 60 ml
5CH - 1 op.1 g
5CH - 1 op. 4 g
5CH - 1 op. 60 ml
7CH - 1 op.1 g
7CH - 1 op. 4 g
7CH - 1 op. 60 ml
9CH - 1 op.1 g
9CH - 1 op. 4 g
9CH - 1 op. 60 ml
12CH - 1 op.1 g
12CH - 1 op. 4 g
12CH - 1 op. 60 ml
15CH - 1 op.1 g
15CH - 1 op. 4 g
15CH - 1 op. 60 ml
30CH - 1 op.1 g
30CH - 1 op. 4 g
30CH - 1 op. 60 ml
200CH - 1 op.1 g
200CH - 1 op. 4 g
200CH - 1 op. 60 ml
6K - 1 op.1 g
6K - 1 op. 4 g
6K - 1 op. 60 ml
12K - 1 op.1 g
12K - 1 op. 4 g
12K - 1 op. 60 ml";"OTC: 4CH - 15CH, Rp: 30CH - 200CH; 6K - 100MK";"5909997026046
5909997026039
5909997026060
5909997152318
5909997152172
5909997152455
5909997152325
5909997152189
5909997152462
5909997152332
5909997152196
5909997152479
5909997152349
5909997152202
5909997152486
5909997152356
5909997152219
5909997152493
5909997152363
5909997152226
5909997152509
5909997152370
5909997152233
5909997152516
5909997152387
5909997152240
5909997152523
5909997152394
5909997152257
5909997152530";Boiron SA;FR
;;;;;"30K - 1 op.1 g
30K - 1 op. 4 g
30K - 1 op. 60 ml
200K - 1 op.1 g
200K - 1 op. 4 g
200K - 1 op. 60 ml
1MK - 1 op.1 g
1MK - 1 op. 4 g
1MK - 1 op. 60 ml
10MK - 1 op.1 g
10MK - 1 op. 4 g
10MK - 1 op. 60 ml
100MK - 1 op.1 g
100MK - 1 op. 4 g
100MK - 1 op. 60 ml";;"5909997152400
5909997152264
5909997152547
5909997152417
5909997152271
5909997152554
5909997152424
5909997152288
5909997152561
5909997152431
5909997152295
5909997152578
5909997152448
5909997152301
5909997152585";;
324;Alusal;Aluminii hydroxidum;tabletki;500 mg;30 tabl.;OTC;5909990248810;Gedeon Richter Polska Sp. z o.o.;PL
325;Alusal;Aluminii hydroxidum;tabletki do ssania;500 mg;30 tabl.;OTC;5909990248919;Gedeon Richter Polska Sp. z o.o.;PL
326;Alutard SQ;Mieszanki wyciągów alergenowych (pochodzenia roślinnego, roztoczy kurzu domowego);zawiesina do wstrzykiwań;;"1 zestaw: 1 fiol. 5 ml (stężenie 4) do leczenia podtrzymującego
1 zestaw: 4 fiol. 5 ml (stężenia 1-4) do leczenia podstawowego
10 fiol. z rozp. 4,5 ml";"Rp


Rp


Rp";"5909990359820


5909990359813


5909990359837";Alk-Abello A/S;DK
327;Alutard SQ;Wyciągi alergenowe pochodzenia roślinnego (pyłki roślin);zawiesina do wstrzykiwań;;"1 zestaw: 1 fiol. 5 ml (stężenie 4) do leczenia podtrzymującego
1 zestaw: 4 fiol. 5 ml (stężenia 1-4) do leczenia podstawowego
10 fiol. z rozp. 4,5 ml";"Rp


Rp


Rp";"5909990359721


5909990359714


5909990359738";Alk-Abello A/S;DK
328;Alutard SQ;Wyciągi alergenowe pochodzenia zwierzęcego (sierść konia, kota i psa);zawiesina do wstrzykiwań;;"1 zestaw: 1 fiol. 5 ml (stężenie 4) do leczenia podtrzymującego
1 zestaw: 4 fiol. 5 ml (stężenia 1-4) do leczenia podstawowego
10 fiol. z rozp. 4,5 ml";"Rp


Rp


Rp";"5909990359622


5909990359615


5909990359639";Alk-Abello A/S;DK
329;Alutard SQ;Wyciągi alergenowe roztoczy kurzu domowego;zawiesina do wstrzykiwań;;"1 zestaw: 1 fiol. 5 ml (stężenie 4) do leczenia podtrzymującego
1 zestaw: 4 fiol. 5 ml (stężenia 1-4) do leczenia podstawowego
10 fiol. z rozp. 4,5 ml";"Rp


Rp


Rp";"5909990359424


5909990359417


5909990359431";Alk-Abello A/S;DK
330;Alutard SQ;Wyciągi alergenowe jadów owadów błonoskrzydłych (osy i pszczoły);zawiesina do wstrzykiwań;;"1 zestaw: 1 fiol. 5 ml do leczenia podtrzymującego
1 zestaw: 4 fiol. 5 ml do leczenia podstawowego
10 fiol. z rozp. 4,5 ml";"Rp

Rp

Rp";"5909990359523
 
5909990359516

5909990359530";Alk-Abello A/S;DK
331;Alventa;Venlafaxinum;kapsułki o przedłużonym uwalnianiu, twarde;37,5 mg;"7 kaps.
28 kaps.";"Rp
Rp";"5909990644919
5909990047901";Krka d.d., Novo mesto;SLO
332;Alventa;Venlafaxinum;kapsułki o przedłużonym uwalnianiu, twarde;75 mg;28 kaps.;Rp;5909990047895;Krka d.d., Novo mesto;SLO
333;Alventa;Venlafaxinum;kapsułki o przedłużonym uwalnianiu, twarde;150 mg;28 kaps.;Rp;5909990047956;Krka d.d., Novo mesto;SLO
334;Alvesco 80;Ciclesonidum;aerozol inhalacyjny, roztwór;80 mcg /dawkę inh.;"1 poj. 60 dawek
1 poj. 120 dawek";"Rp
Rp";"5909990218523
5909990212057";Nycomed GmbH;D
335;Alvesco 160;Ciclesonidum;aerozol inhalacyjny, roztwór;160 mcg /dawkę inh.;"1 poj. 60 dawek
1 poj. 120 dawek";"Rp
Rp";"5909990218530
5909990212064";Nycomed GmbH;D
336;Alvia Zaparcia;Homeopatyczny produkt leczniczy;syrop;;1 butelka 150 ml;OTC;5909990708499;ICN Polfa Rzeszów S.A.;PL
337;Alvogyl;Lidocainum + Eugenolum;pasta do stosowania w jamie ustnej;(50 mg + 15 mg)/g;1 słoik 12 g;Rp;5909991000516;Septodont Specialites;F
338;Alvokast;Montelukastum;tabletki do rozgryzania i żucia;4 mg;"14 tabl.
28 tabl.";"Rp
Rp";"5909990827398
5909990827404";Pharmathen S.A.;GR
339;Alvokast;Montelukastum;tabletki do rozgryzania i żucia;5 mg;"14 tabl.
28 tabl.";"Rp
Rp";"5909990827435
5909990827442";Pharmathen S.A.;GR
340;Alvokast;Montelukastum;tabletki powlekane;10 mg;"14 tabl.
28 tabl.";"Rp
Rp";"5909990827466
5909990827473";Pharmathen S.A.;GR
341;Alvostan;Exemestanum;tabletki powlekane;25 mg;30 tabl.;Rp;5909990906871;"EirGen Pharma Limited
Sigfried Generics (Malta) Ltd.";"IRL
MT"
342;Alyostal;Wyciągi alergenowe - alergeny diagnostyczne do testów skórnych punktowych;roztwór do skórnych prób punktowych;;3 fiol.;Rp;5909990496013;Stallergenes S.A.;F
343;Alzdone;Donepezili hydrochloridum;tabletki powlekane;5 mg;28 tabl.;Rp;5909990712847;Specifar S.A.;GR
344;Alzdone;Donepezili hydrochloridum;tabletki powlekane;10 mg;28 tabl.;Rp;5909990713097;Specifar S.A.;GR
345;Alzepezil;Donepezili hydrochloridum;tabletki powlekane;5 mg;"28 tabl.
56 tabl.";"Rp
Rp";"5909990724369
5909990724376";"Egis Pharmaceuticals PLC
Egis Pharmaceuticals PLC";"H
H"
346;Alzepezil;Donepezili hydrochloridum;tabletki powlekane;10 mg;"28 tabl.
56 tabl.";"Rp
Rp";"5909990724383
5909990724390";"Egis Pharmaceuticals PLC
Egis Pharmaceuticals PLC";"H
H"
347;Alzepezil ODT;Donepezili hydrochloridum;tabletki ulegające rozpadowi w jamie ustnej;5 mg;"28 tabl.
30 tabl.
50 tabl.
56 tabl.
60 tabl.
98 tabl.
120 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990814220
5909990814237
5909990814244
5909990814251
5909990814268
5909990814275
5909990814282";Genepharm S.A.;GR
348;Alzepezil ODT;Donepezili hydrochloridum;tabletki ulegające rozpadowi w jamie ustnej;10 mg;"28 tabl.
30 tabl.
50 tabl.
56 tabl.
60 tabl.
98 tabl.
120 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990814299
5909990814305
5909990814329
5909990814336
5909990814343
5909990814350
5909990814367";Genepharm S.A.;GR
349;Alzin 50;Amisulpridum;tabletki;50 mg;"30 tabl.
60 tabl.";"Rp
Rp";"5909990724659
5909990724666";Teva Operations Poland Sp. z o.o.;PL
350;Alzin 100;Amisulpridum;tabletki;100 mg;30 tabl.;Rp;5909990724673;Teva Operations Poland Sp. z o.o.;PL
351;Alzin 200;Amisulpridum;tabletki;200 mg;"30 tabl.
60 tabl.";"Rp
Rp";"5909990724680
5909990724697";Teva Operations Poland Sp. z o.o.;PL
352;Alzin 400;Amisulpridum;tabletki;400 mg;30 tabl.;Rp;5909990724703;Teva Operations Poland Sp. z o.o.;PL
353;Amantix;Amantadini sulfas;roztwór do infuzji;200 mg/500 ml;"2 butelki 500 ml
10 butelek 500 ml";"Rp
Rp";"5909990805716
5909990805723";Merz Pharma GmbH & Co. KGaA;D
354;Amantix;Amantadini sulfas;tabletki powlekane;100 mg;"30 tabl.
100 tabl.";"Rp
Rp";"5909990742905
5909990742929";Merz Pharma GmbH & Co. KGaA;D
355;Amarosal;Produkt złożony;syrop;;1 butelka 125 g;OTC;5909990755219;"Wrocławskie Zakłady Zielarskie ""Herbapol"" S.A.";PL
356;Amaryl 1;Glimepiridum;tabletki;1 mg;"30 tabl.
120 tabl.";"Rp
Rp";"5909990744817
5909990744824";"Sanofi Winthrop Industrie
Sanofi-Aventis Deutschland GmbH
Sanofi-Aventis S.p.A.";"F
D

I"
357;Amaryl 2;Glimepiridum;tabletki;2 mg;"30 tabl.
120 tabl.";"Rp
Rp";"5909990744916
5909990744923";"Sanofi Winthrop Industrie
Sanofi-Aventis Deutschland GmbH
Sanofi-Aventis S.p.A.";"F
D

I"
358;Amaryl 3;Glimepiridum;tabletki;3 mg;"30 tabl.
120 tabl.";"Rp
Rp";"5909990745012
5909990745029";"Sanofi Winthrop Industrie
Sanofi-Aventis Deutschland GmbH
Sanofi-Aventis S.p.A.";"F
D

I"
359;Amaryl 4;Glimepiridum;tabletki;4 mg;"30 tabl.
120 tabl.";"Rp
Rp";"5909990745111
5909990745128";"Sanofi Winthrop Industrie
Sanofi-Aventis Deutschland GmbH
Sanofi-Aventis S.p.A.";"F
D

I"
360;AmBisome;Amphotericinum B;proszek do sporządzania roztworu do infuzji;50 mg;"1 fiol. 50 mg + filtr membranowy
10 fiol. 50 mg + filtr membranowy";"Rp

Rp";"5909990800025

5909990800018";"Gilead Sciences Ltd.
Gilead Sciences Ltd.";"IRL
IRL"
